Date,Open,High,Low,Close,Adj Close,Volume
2020-07-07,17.975000,18.697500,17.767500,18.680000,18.489475,49730000
2020-07-08,18.812500,19.174999,18.705000,19.174999,18.979425,46795200
2020-07-09,19.250000,19.895000,19.059999,19.850000,19.647541,46587600
2020-07-10,19.822500,20.250000,19.737499,20.045000,19.840553,51957600
2020-07-13,20.152500,20.549999,20.052500,20.125000,19.919737,44514000
2020-07-14,20.187500,20.587500,19.860001,20.125000,19.919737,56813600
2020-07-15,20.325001,20.475000,20.217501,20.375000,20.167187,51096800
2020-07-16,20.275000,20.450001,19.785000,20.045000,19.840553,44875200
2020-07-17,20.125000,20.555000,20.120001,20.500000,20.290911,44042000
2020-07-20,20.590000,21.790001,20.527500,21.750000,21.528162,43484800
2020-07-21,22.177500,22.375000,20.930000,21.075001,20.860048,61190000
2020-07-22,21.000000,21.514999,20.540001,21.162500,20.946655,43252000
2020-07-23,21.270000,21.350000,19.625000,20.100000,19.894993,50919600
2020-07-24,19.969999,19.975000,19.302500,19.917500,19.714354,54494800
2020-07-27,20.162500,20.487499,19.625000,19.837500,19.635168,40832000
2020-07-28,19.830000,20.275000,19.629999,20.100000,19.894993,29989600
2020-07-29,20.242500,20.355000,19.879999,20.052500,19.847975,25400400
2020-07-30,19.799999,20.862499,19.767500,20.822500,20.610123,46058400
2020-07-31,21.049999,21.187500,20.000000,20.177500,20.062429,45544000
2020-08-03,20.302500,20.700001,19.940001,20.642500,20.621023,37955600
2020-08-04,20.362499,20.799999,20.205000,20.625000,20.603542,31522800
2020-08-05,20.825001,21.107500,20.725000,20.750000,20.728413,30304000
2020-08-06,21.000000,21.547501,20.875000,21.477501,21.455156,44079200
2020-08-07,21.299999,21.875000,21.084999,21.412500,21.390223,46478800
2020-08-10,21.545000,21.575001,20.280001,20.482500,20.461189,61277600
2020-08-11,20.674999,20.747499,20.057501,20.247499,20.226435,42669200
2020-08-12,20.327499,20.532499,19.799999,20.014999,19.994175,44144400
2020-08-13,20.150000,21.000000,19.865000,20.112499,20.091574,63304000
2020-08-14,20.152500,20.607500,20.049999,20.440001,20.418736,42638800
2020-08-17,20.625000,20.867500,19.847500,20.412500,20.391264,58920800
2020-08-18,21.375000,22.450001,21.002501,22.375000,22.351721,127926000
2020-08-19,22.252501,22.557501,22.055000,22.424999,22.401669,54724800
2020-08-20,22.040001,22.067499,21.537500,21.837500,21.814779,54761600
2020-08-21,21.740000,22.174999,21.600000,21.837500,21.814779,33020400
2020-08-24,22.045000,22.270000,21.652500,21.770000,21.747351,31364400
2020-08-25,21.975000,22.177500,21.852501,22.000000,21.977112,29602400
2020-08-26,22.027500,22.875000,21.990000,22.537500,22.514051,69261200
2020-08-27,22.605000,23.030001,22.605000,22.995001,22.971077,49194000
2020-08-28,23.125000,23.645000,22.975000,23.645000,23.620399,39536800
2020-08-31,23.627501,23.629999,23.090000,23.305000,23.280754,44806400
2020-09-01,23.549999,24.062500,23.417500,23.832500,23.807705,35228400
2020-09-02,23.975000,24.105000,23.250000,23.377501,23.353178,40830800
2020-09-03,23.452499,23.575001,21.799999,22.125000,22.101982,85120800
2020-09-04,22.362499,22.610001,20.867500,22.192499,22.169411,90277600
2020-09-08,21.762501,22.377501,21.375000,21.922501,21.899693,45290400
2020-09-09,22.257500,22.857500,22.257500,22.799999,22.776278,45762800
2020-09-10,22.844999,23.422501,21.750000,22.062500,22.039547,65936400
2020-09-11,22.340000,22.600000,21.780001,21.892500,21.869722,48137600
2020-09-14,22.299999,22.967501,22.250000,22.575001,22.551514,49884800
2020-09-15,22.852501,23.110001,22.270000,22.395000,22.371700,45557200
2020-09-16,22.455000,22.725000,22.157499,22.292500,22.269306,36979600
2020-09-17,22.147499,22.325001,21.665001,21.775000,21.752344,49546800
2020-09-18,21.900000,22.387501,21.510000,21.790001,21.767330,60468400
2020-09-21,21.307501,22.287500,21.082500,22.174999,22.151928,60979200
2020-09-22,22.400000,22.545000,21.875000,22.372499,22.349224,52746800
2020-09-23,22.372499,22.492500,21.552500,21.620001,21.597507,43341200
2020-09-24,21.725000,22.447500,21.424999,22.325001,22.301773,48450000
2020-09-25,22.102501,22.775000,21.875000,22.657499,22.633926,43119200
2020-09-28,22.900000,23.070000,21.754999,21.867500,21.844749,63056000
2020-09-29,21.885000,22.212500,21.639999,21.870001,21.847248,38303600
2020-09-30,22.027500,22.475000,21.809999,22.299999,22.276798,46979200
2020-10-01,22.334999,22.975000,22.302500,22.975000,22.951097,45613200
2020-10-02,22.762501,22.945000,21.900000,22.012501,21.989599,59527200
2020-10-05,22.245001,22.674999,22.065001,22.535000,22.511555,48107600
2020-10-06,22.750000,22.799999,22.215000,22.325001,22.301773,42778000
2020-10-07,22.424999,22.692499,22.225000,22.235001,22.211868,41633600
2020-10-08,22.450001,23.000000,22.275000,22.967501,22.943605,46569200
2020-10-09,22.975000,24.537500,22.900000,24.537500,24.511972,92367600
2020-10-13,24.882500,26.100000,24.875000,26.000000,25.972950,94711200
2020-10-14,26.500000,27.250000,25.040001,25.680000,25.653282,83598100
2020-10-15,25.020000,26.070000,25.000000,25.510000,25.483459,34750000
2020-10-16,25.760000,26.049999,25.160000,25.870001,25.843086,29939200
2020-10-19,26.110001,26.299999,25.350000,25.690001,25.663273,36433600
2020-10-20,25.799999,26.139999,25.650000,26.040001,26.012909,27788700
2020-10-21,26.000000,26.799999,25.959999,26.219999,26.192720,35433800
2020-10-22,26.350000,26.400000,26.000000,26.100000,26.072845,23097100
2020-10-23,26.100000,26.209999,25.650000,25.770000,25.743189,17171500
2020-10-26,25.799999,26.100000,25.110001,25.469999,25.443501,25781400
2020-10-27,25.530001,25.750000,25.120001,25.450001,25.423523,20697400
2020-10-28,24.799999,25.240000,24.400000,24.629999,24.604374,36016800
2020-10-29,24.400000,25.580000,23.879999,25.360001,25.333616,37853300
2020-10-30,25.150000,25.299999,24.160000,24.629999,24.604374,31118300
2020-11-03,25.280001,25.389999,24.750000,24.990000,24.964001,25250200
2020-11-04,25.400000,26.629999,25.370001,26.190001,26.162752,51188300
2020-11-05,26.879999,27.700001,26.740000,27.450001,27.421442,46382700
2020-11-06,27.000000,27.360001,26.510000,27.000000,26.971909,23932600
2020-11-09,28.150000,28.309999,26.350000,26.450001,26.422482,71761700
2020-11-10,26.010000,27.120001,25.180000,25.219999,25.193760,79060600
2020-11-11,25.400000,26.209999,25.280001,25.580000,25.553387,51171300
2020-11-12,25.530001,25.950001,24.910000,25.480000,25.453489,33819000
2020-11-13,25.760000,25.780001,24.860001,25.030001,25.003960,24745200
2020-11-16,25.299999,25.389999,24.270000,24.850000,24.824146,41356200
2020-11-17,24.750000,25.270000,24.530001,24.730000,24.704271,31907900
2020-11-18,24.700001,24.730000,24.070000,24.540001,24.514469,31523100
2020-11-19,24.530001,24.719999,23.820000,24.639999,24.614365,50040100
2020-11-23,24.299999,24.370001,23.219999,23.420000,23.395634,59639700
2020-11-24,23.370001,23.969999,22.900000,23.700001,23.675343,57465100
2020-11-25,23.670000,24.309999,23.520000,24.000000,23.975031,38914800
2020-11-26,23.900000,24.299999,23.820000,24.250000,24.224770,23108700
2020-11-27,24.320000,24.549999,23.920000,24.250000,24.224770,27533300
2020-11-30,24.200001,24.690001,23.219999,23.379999,23.355675,67110300
2020-12-01,23.650000,23.770000,22.600000,22.879999,22.856195,49280200
2020-12-02,22.879999,23.170000,22.750000,23.049999,23.026018,25575700
2020-12-03,23.080000,23.600000,22.930000,23.299999,23.275759,33183700
2020-12-04,23.420000,23.850000,23.170000,23.719999,23.695320,16784000
2020-12-07,23.660000,24.270000,23.430000,23.799999,23.775238,24571500
2020-12-08,23.730000,24.950001,23.610001,24.950001,24.924044,42095700
2020-12-09,24.950001,25.059999,23.809999,23.980000,23.955051,41174000
2020-12-10,24.100000,24.160000,23.170000,23.400000,23.375654,33674300
2020-12-11,23.090000,23.530001,22.719999,22.959999,22.936111,28384400
2020-12-14,23.000000,24.219999,22.870001,24.049999,24.024977,43300500
2020-12-15,24.049999,24.820000,23.639999,24.610001,24.584396,39496800
2020-12-16,24.500000,24.969999,24.170000,24.959999,24.934031,41309900
2020-12-17,24.860001,25.110001,24.360001,24.540001,24.514469,23427200
2020-12-18,24.480000,24.629999,24.100000,24.450001,24.424562,18149600
2020-12-21,23.930000,25.379999,23.610001,25.000000,24.973989,52188800
2020-12-22,25.290001,25.420000,24.850000,25.160000,25.133823,25236200
2020-12-23,25.250000,25.629999,24.969999,24.969999,24.944021,20558600
2020-12-28,24.780001,25.330000,24.400000,25.250000,25.223730,23099100
2020-12-29,25.230000,25.559999,25.020000,25.280001,25.253700,17789700
2020-12-30,25.370001,25.660000,24.950001,24.950001,24.950001,19188700
